"ID","items"
380,"bright,orange,red,circles,floating,sky,suddenly,disappear"
381,"strange,lights,formation,suddenly,drifted,apart,appeared,round,shape,copper,like,glow,illumination"
382,"two,bright,lights,santa"
383,"saw,thought,star,moving,fast,horizon,n,object,zig,changed,directions,erratically"
384,"two,ufos,seen,ca"
385,"ufo,sighting,antioch,ca,orange,lights"
386,"unknown,object,high,sky"
387,"saw,white,triangular,object,metallic,red,apex,loud,travelling,north"
388,"multiple,lights,sky"
389,"silent,bright,formation,dimmer,venus,degree,viewing,angle,deg,se,deg,e,matter,seconds"
390,"reddish,glowing,light,cruising,speed,thought,helicopter,made,sound,flashing,light"
391,"bizarre,color,changing,moving,light"
392,"bright,white,light,south,corona,note,sighting,venus,pd"
393,"witnessed,red,turquoise,lights,red,lights,blinking"
394,"four,multi,colored,ca"
395,"large,circular,yellowish,fireball,sky,made,noise"
396,"small,yellow,circular,craft,still,disappeared,quickly"
397,"seven,lights,sky,north"
398,"white,pulsating,lights"
399,"yellow,stationary,light,sky,low,horizon,stationary,least,seconds,disappeared,suddenly"
400,"front,house,front,looked,saw,spherical,lights,shape,pattern,outer,spheres,move"
401,"white,light,spheres,size,basket,balls,performed,symmetrical,movement,low,level"
402,"craft,close,fast,glowing,fire,red,could"
403,"beautiful,orange,orbs,fly,distance,minutes,takes"
404,"fireball,like,objects"
405,"four,balls,light,seen,oakley,ca"
406,"flashing,red,light,right,moon,motionless,minutes,began,move,west,stopped,motionless,minutes"
407,"orange,bright,light,eureka,california"
408,"see,appeared,photos,took,noticing,took,several"
409,"vertically,moving,object,glowing,accelerating,quickly"
410,"red,lights,seen,park,apparently,sign"
411,"november,time,approx,pm,eureka,ca,ufo,spotted,travelling,east,west,eureka,large,orange,flickering,object"
412,"bright,green,lights,hover,los,angeles,back,earth"
413,"orange,orbs"
414,"small,motionless,red,flashing,light,moves,slowly,another,position,noise"
415,"three,large,glowing,orange,lights,flying,night,sky,oakley,california"
416,"floating,ball,light,making,rapid,movement,sky,little,faint,lights,moving,around,happening,right"
417,"blinking,stationary,light"
418,"silver,hovering,carson,ca"
419,"noticed,single,bright,like,star,closer,note,suspect,star,sure,pd"
420,"unusual,faint,white,circle,moving,faster,jet,traveling,south,northeast,ca,approximately"
421,"spheres,obs,circulating,around"
422,"silvery,distinct,tail,lights,super,fast"
423,"woman,witnesses,strange,rectangular,object,suddenly,accelerates,zips"
424,"bright,object,orb,performs,aerial,pacific,ocean,performing,disappearing,act,water,close,coast"
425,"blue,light,horizon"
426,"january,ufo,sphere,fire,rancho,ca,near,high,school"
427,"three,flying,objects,row,red,green,lights"
428,"one,brightly,blinking,light,berkeley,ca,note,sighting,capella,northeast,sky,pd"
429,"saw,craft,ejecting,red,flares,night,sky,southern,california"
430,"three,others,saw,three,triangle,objects,lights,silently,fly,north,house,v,formation"
431,"saw,circle,white,clusters,light,radiating,spikes,light,spreading,center"
432,"beach,saw,orange,objects,hovering,night,sky"
433,"objects,moved,different,speed,stopped"
434,"overhead,saw,v,chevron,shaped,four,lights,side,huge,silent,fast,moving,southward,along"
435,"light,slowly,flashing,top,connected,green,light,light,source"
436,"triangle,shaped,craft,orange,lights,flew,quickly,silently"
437,"bright,blinking,light,far,away,moved,right,left,vertically,smaller,objects,leaving"
438,"black,object,flew,around,coastal,cloud,flew,cloud,cloud,dissipated,min,later"
439,"single,fireball,spotted,valley"
440,"craft,believe,alien,unidentifiable,us,driving,road,unidentified,thin"
441,"light,moving,faster,higher,till,disappeared"
442,"white,illuminated,disks,east,los,angeles,mountains"
443,"side,side,shaped,horizontally,green,red,white,flashing,lights"
444,"fiery,thick,wide,object,flashes,sky,towards"
445,"san,diego,county,lit"
446,"huge,bright,light,covering,sky,miles,east,desert,center,pm"
447,"circular,lights,orange,tail,amp,sudden,white,flash,santa,barbara"
448,"sphere,light,ball,dimming,pulsating,plane,lights,moving,north,west,noticed"
449,"bright,flash,light,appears,deep,space,times,suddenly,disappears"
450,"orange,fireballs,white,tails"
451,"orange,fireballs,northern,sky,redding"
452,"encounter,et,chased,miles"
453,"unusual,fireball,seen,going,across,sky"
454,"mystery,objects,seen,desert,center,ca,disappeared,thru,smoke"
455,"yellow,light,flight,path,quickly,vanished,plane,got,sight,garden,grove,ca"
456,"orange,floating,light"
457,"plane,behind,strange,lit,object,making,noise"
458,"floating,fireball,dripping,seemed,like,molten,metal"
459,"ball,light,sky"
460,"silent,large,lights,antioch,california,shoot,something,bottom,fly,west,towards"
461,"saw,reddish,light,move,little,mountain,south,side,object,went,quickly,perfect"
462,"fireballs,sky,ca"
463,"single,craft,bright,red,green,lights,moving,fast,changing,directions,often,helicopter,fast,say"
464,"reddish,circular,ufo,cruising,south,west,san,diego,county"
465,"circle,shape,intense,light,coming,back"
466,"eastern,sky,red,green,white,object,moving,sideways,staying,location,note,sirius,pd"
467,"red,object,displaying,bizarre,flight,patterns,shooting,directly,upwards,space"
468,"bright,orange,lights,hovered,sky"
469,"silver,almost,transparent,looking,objects,santa,monica,ca"
470,"firework,like,spark,close,ground,oddly,high,long,chem,trail,behind"
471,"fireball,sky,carlsbad,state,beach,california"
472,"red,green,blue,lights,flash,around,item,eastern,sky,nightly"
